"WebUrl Name: Chicago Event Search"
"Search Url: https://tickettransaction.com/?https=true&bid=3104&sitenumber=5&tid=301&disableSingleEventRedirect=true&kwds=rock+concert&city=Chicago&sdate=07%2F24%2F2019&edate=07%2F31%2F2019&stprvid=15"
"Run Time: 07/25/2019 01:36:10"

"Event" , "Venue" , "Location"
"Khalid &amp; Clairo" , "United Center" , "Chicago, IL"
"Khemmis" , "Reggie&#39;s Rock Club" , "Chicago, IL"
"Willow Smith" , "Reggie&#39;s Rock Club" , "Chicago, IL"
"UN &amp; Wormwitch" , "Reggie&#39;s Music Joint" , "Chicago, IL"
"Sidney Gish" , "Beat Kitchen" , "Chicago, IL"
"The Legendary Shack Shakers" , "Reggie&#39;s Music Joint" , "Chicago, IL"
"Sacred Paws" , "Beat Kitchen" , "Chicago, IL"
"JD Pinkus" , "Reggie&#39;s Music Joint" , "Chicago, IL"
"Lollapalooza Aftershow: Half Alive" , "Schubas" , "Chicago, IL"
"Lollapalooza Aftershow: King Princess" , "Thalia Hall" , "Chicago, IL"
